Week,Searches
9/18/2016,3
9/25/2016,3
10/2/2016,3
10/9/2016,3
10/16/2016,3
10/23/2016,3
10/30/2016,3
11/6/2016,3
11/13/2016,3
11/20/2016,3
11/27/2016,3
12/4/2016,3
12/11/2016,3
12/18/2016,4
12/25/2016,5
1/1/2017,7
1/8/2017,5
1/15/2017,4
1/22/2017,4
1/29/2017,4
2/5/2017,5
2/12/2017,4
2/19/2017,5
2/26/2017,6
3/5/2017,6
3/12/2017,5
3/19/2017,5
3/26/2017,5
4/2/2017,5
4/9/2017,5
4/16/2017,5
4/23/2017,5
4/30/2017,7
5/7/2017,10
5/14/2017,11
5/21/2017,19
5/28/2017,12
6/4/2017,12
6/11/2017,13
6/18/2017,10
6/25/2017,11
7/2/2017,9
7/9/2017,10
7/16/2017,12
7/23/2017,11
7/30/2017,15
8/6/2017,15
8/13/2017,20
8/20/2017,16
8/27/2017,17
9/3/2017,18
9/10/2017,21
9/17/2017,16
9/24/2017,13
10/1/2017,12
10/8/2017,19
10/15/2017,20
10/22/2017,21
10/29/2017,27
11/5/2017,28
11/12/2017,30
11/19/2017,27
11/26/2017,65
12/3/2017,89
12/10/2017,85
12/17/2017,100
12/24/2017,61
12/31/2017,48
1/7/2018,45
1/14/2018,58
1/21/2018,38
1/28/2018,40
2/4/2018,47
2/11/2018,28
2/18/2018,25
2/25/2018,19
3/4/2018,19
3/11/2018,19
3/18/2018,18
3/25/2018,18
4/1/2018,17
4/8/2018,16
4/15/2018,14
4/22/2018,14
4/29/2018,12
5/6/2018,12
5/13/2018,11
5/20/2018,11
5/27/2018,10
6/3/2018,9
6/10/2018,12
6/17/2018,10
6/24/2018,11
7/1/2018,10
7/8/2018,9
7/15/2018,11
7/22/2018,12
7/29/2018,10
8/5/2018,11
8/12/2018,11
8/19/2018,10
8/26/2018,10
9/2/2018,11
9/9/2018,10
9/16/2018,9
9/23/2018,8
9/30/2018,8
10/7/2018,8
10/14/2018,8
10/21/2018,7
10/28/2018,8
11/4/2018,8
11/11/2018,10
11/18/2018,14
11/25/2018,14
12/2/2018,11
12/9/2018,11
12/16/2018,11
12/23/2018,10
12/30/2018,9
1/6/2019,9
1/13/2019,8
1/20/2019,7
1/27/2019,7
2/3/2019,8
2/10/2019,7
2/17/2019,8
2/24/2019,7
3/3/2019,7
3/10/2019,7
3/17/2019,7
3/24/2019,7
3/31/2019,12
4/7/2019,10
4/14/2019,9
4/21/2019,9
4/28/2019,9
5/5/2019,11
5/12/2019,18
5/19/2019,13
5/26/2019,14
6/2/2019,12
6/9/2019,11
6/16/2019,17
6/23/2019,25
6/30/2019,17
7/7/2019,16
7/14/2019,16
7/21/2019,13
7/28/2019,12
8/4/2019,14
8/11/2019,13
8/18/2019,12
8/25/2019,11
9/1/2019,11
9/8/2019,10
9/15/2019,9
9/22/2019,12
9/29/2019,10
10/6/2019,9
10/13/2019,9
10/20/2019,10
10/27/2019,10
11/3/2019,9
11/10/2019,8
11/17/2019,10
11/24/2019,10
12/1/2019,9
12/8/2019,8
12/15/2019,9
12/22/2019,9
12/29/2019,9
1/5/2020,11
1/12/2020,10
1/19/2020,10
1/26/2020,10
2/2/2020,10
2/9/2020,13
2/16/2020,11
2/23/2020,11
3/1/2020,10
3/8/2020,20
3/15/2020,20
3/22/2020,15
3/29/2020,13
4/5/2020,13
4/12/2020,12
4/19/2020,12
4/26/2020,16
5/3/2020,18
5/10/2020,21
5/17/2020,15
5/24/2020,12
5/31/2020,13
6/7/2020,11
6/14/2020,11
6/21/2020,10
6/28/2020,10
7/5/2020,10
7/12/2020,11
7/19/2020,10
7/26/2020,16
8/2/2020,15
8/9/2020,13
8/16/2020,13
8/23/2020,11
8/30/2020,12
9/6/2020,11
9/13/2020,10
9/20/2020,9
9/27/2020,8
10/4/2020,9
10/11/2020,9
10/18/2020,13
10/25/2020,14
11/1/2020,15
11/8/2020,16
11/15/2020,22
11/22/2020,24
11/29/2020,21
12/6/2020,17
12/13/2020,29
12/20/2020,28
12/27/2020,41
1/3/2021,66
1/10/2021,65
1/17/2021,41
1/24/2021,39
1/31/2021,35
2/7/2021,62
2/14/2021,57
2/21/2021,63
2/28/2021,41
3/7/2021,42
3/14/2021,40
3/21/2021,37
3/28/2021,35
4/4/2021,33
4/11/2021,40
4/18/2021,52
4/25/2021,38
5/2/2021,35
5/9/2021,47
5/16/2021,77
5/23/2021,56
5/30/2021,40
6/6/2021,43
6/13/2021,31
6/20/2021,39
6/27/2021,27
7/4/2021,23
7/11/2021,22
7/18/2021,26
7/25/2021,30
8/1/2021,25
8/8/2021,29
8/15/2021,26
8/22/2021,26
8/29/2021,22
9/5/2021,30
